# Wordlist

# DATA
ID	DOCULECT	IPA	TOKENS	ENGLISH	FRENCH	CONCEPT
47	Yanda_Dom	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
48	Yorno_So	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
#
65	Bambara	dántán	d a ⁵ n t a ⁵ n	animal	animal domestique (surtout bétail)	ANIMAL
66	Bangime	yíríbɛ̀	j i ⁵ r i ⁵ b ɛ ¹	animal	animal	ANIMAL
67	Bankan_Tey	dá:bà-m	d aː ⁵ b a ¹ + m	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
68	Ben_Tey	àrsɛ̌:	a ¹ r s ɛː ¹⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
69	Bunoge	kɔ́mbɔ̀	k ɔ ⁵ m b ɔ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
71	Fulfulde	daaba	d a a b a	animal	animal domestique (surtout bétail)	ANIMAL
73	Jamsay	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
74	Jenaama	dáábā	d aː ⁵ b a ³	animal	animal domestique (surtout bétail)	ANIMAL
75	Mombo	dèbù bɛ́lí	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
76	Najamba	dúmɛ́-ŋgó	d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
77	Nanga	gàsɛ̀gɛ́	ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
78	Penange	dá:bá	d aː ⁵ b a ⁵	animal	animal domestique (surtout bétail)	ANIMAL
79	Perge_Tegu	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
80	Songhai_Kiini	dá:bbà	d aː ⁵ b b a ¹	animal	animal domestique (surtout bétail)	ANIMAL
81	Songhai_Senni	dá:bbà:	d aː ⁵ b b aː ¹	animal	animal domestique (surtout bétail)	ANIMAL
82	Tebul_Ure	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
83	Tiranige_Diga	bèl	b e ¹ l	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
84	Togo_Kan	gìrⁿí árúsɛ̀gɛ̀	ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
85	Tommo_So	bɛ̀lú	b ɛ ¹ l u ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
86	Toro_Tegu	àrùzàká	a ¹ r u ¹ z a ¹ k a ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
87	Yanda_Dom	àzɛ̀gɛ̀	a ¹ z ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
88	Yorno_So	àrùsɛ̀gɛ́	a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
#
139	Bangime	twàà-rà	t w aː ¹ + r a ¹	arrive	arriver	ARRIVE
140	Bankan_Tey	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
141	Ben_Tey	dɔ̌	d ɔ ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
142	Bunoge	dín-nɛ̀	d i ⁵ n + n ɛ ¹	arrive at, reach	arriver à, atteindre	ARRIVE
143	Fulfulde	yottaa-de	j o t t a a + d e	arrive	arriver	ARRIVE
145	Jamsay	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
146	Jenaama	kìyɛ̀wⁿ	k i ¹ j ɛ ¹ w̃ ∼	arrive	arriver	ARRIVE
147	Mombo	dín-yɛ̂:	d i ⁵ n + j ɛː ⁵¹	arrive at, reach	arriver à, atteindre	ARRIVE
148	Najamba	dw-ɛ̂:	d w + ɛː ⁵¹	arrive at, reach	arriver à, atteindre	ARRIVE
149	Nanga	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
150	Penange	túb-yɛ̀	t u ⁵ b + j ɛ ¹	arrive at, reach	arriver à, atteindre	ARRIVE
151	Perge_Tegu	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
152	Songhai_Kiini	tɔ́:	t ɔː	arrive	arriver Caus tó:-y-éyndí 2, VO also tó:-ndù ­ex: kòyrà gá bò .tó: the next village coming up (on a trip)	ARRIVE
153	Songhai_Senni	tó:	t oː ⁵	arrive	arriver	ARRIVE
154	Tebul_Ure	dɔ̌	d ɔ ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
155	Tiranige_Diga	áyó	a ⁵ j o ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
156	Togo_Kan	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
157	Tommo_So	dɔ̀ɔ́	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
158	Toro_Tegu	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
160	Yanda_Dom	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
161	Yorno_So	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
#
165	Bangime	tùɥɛ̀	t u ¹ ɥ ɛ ¹	ashes	cendre	ASH
166	Bankan_Tey	dɔ̀yⁿ ɔ̌yⁿ	d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼	ashes	cendre(s); couleur cendre, gris	ASH
167	Ben_Tey	dɔ̀yⁿ ɔ̌yⁿ	d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼	ashes	cendre	ASH
168	Bunoge	díwɔ̀	d i ⁵ w ɔ ¹	ashes	cendre	ASH
171	Jamsay	dɔ̀yⁿɔ́	d ɔ ¹ j ∼ ɔ ⁵	ashes	cendre(s); couleur cendre, gris	ASH
172	Jenaama	síbō	s i ⁵ b o ³	ashes	cendre	ASH
173	Mombo	dwɛ̂:	d w ɛː ⁵¹	ashes	cendre(s); couleur cendre, gris	ASH
174	Najamba	dɔ̀dɛ̌:-ŋgó	d ɔ ¹ d ɛː ¹⁵ + ŋ ɡ o ⁵	ashes	cendre	ASH
175	Nanga	dùyá	d u ¹ j a ⁵	ashes	cendre	ASH
176	Penange	dwɛ̀:	d w ɛː ¹	ashes	cendre	ASH
177	Perge_Tegu	dɔ̀yⁿɔ́	d ɔ ¹ j ∼ ɔ ⁵	ashes	cendre	ASH
178	Songhai_Kiini	bó:sú	b oː ⁵ s u ⁵	ashes	cendre(s); couleur cendre, gris	ASH
179	Songhai_Senni	bó:só	b oː ⁵ s o ⁵	ashes	cendre(s); couleur cendre, gris	ASH
180	Tebul_Ure	dɔ̀ɛ́	d ɔ ¹ ɛ ⁵	ashes	cendre	ASH
181	Tiranige_Diga	dwɛ́:	d w ɛː ⁵	ashes	cendre	ASH
182	Togo_Kan	dɔ̀yⁿɛ́	d ɔ ¹ j ∼ ɛ ⁵	ashes	cendre	ASH
183	Tommo_So	úndɔ́	u ⁵ n d ɔ ⁵	ashes	cendre	ASH
184	Toro_Tegu	dòwⁿ òsú	d o ¹ w̃ ∼ _ o ¹ s u ⁵	ashes	cendre	ASH
186	Yanda_Dom	dɔ̀yⁿɛ̀	d ɔ ¹ j ∼ ɛ ¹	ashes	cendre	ASH
187	Yorno_So	únɔ̀	u ⁵ n ɔ ¹	ashes	cendre	ASH
#
191	Bangime	ɡīìⁿ	ɡ ĩː ³¹ ∼	back (body)	dos	BACK
192	Bankan_Tey	tùndú	t u ¹ n d u ⁵	back (body)	dos	BACK
193	Ben_Tey	tùlù kɛ́lɛ̀	t u ¹ l u ¹ _ k ɛ ⁵ l ɛ ¹	back (body)	dos	BACK
194	Bunoge	pùmbù	p u ¹ m b u ¹	back (body)	dos	BACK
196	Fulfulde	caggal	tʃ a ɡ ɡ a l	back (body)	dos	BACK
198	Jamsay	gǔn	ɡ u ¹⁵ n	back (body)	dos	BACK
199	Mombo	túndú	t u ⁵ n d u ⁵	back (body)	dos	BACK
200	Najamba	bàndí-ŋgé	b a ¹ n d i ⁵ + ŋ ɡ e ⁵	back (body)	dos	BACK
201	Nanga	tùndù bìrⁿɛ́	t u ¹ n d u ¹ _ b i ¹ r̃ ∼ ɛ ⁵	back (body)	dos	BACK
202	Penange	túndú	t u ⁵ n d u ⁵	back (body)	dos	BACK
203	Perge_Tegu	tùr kɛ́lɛ́	t u ¹ r _ k ɛ ⁵ l ɛ ⁵	back (body)	dos	BACK
204	Songhai_Kiini	bandɛ̀	b a n d ɛ ¹	back (body part)	dos	BACK
205	Songhai_Senni	bàndè	b a ¹ n d e ¹	back (body part)	dos	BACK
206	Tebul_Ure	kúndú-gó	k u ⁵ n d u ⁵ + ɡ o ⁵	back (body)	dos	BACK
207	Tiranige_Diga	túnú	t u ⁵ n u ⁵	back (body)	dos	BACK
208	Togo_Kan	dògò kɛ́nɛ́	d o ¹ ɡ o ¹ _ k ɛ ⁵ n ɛ ⁵	back (body)	dos	BACK
209	Tommo_So	ònnú	o ¹ n n u ⁵	back (body)	dos	BACK
211	Toro_Tegu	tùŋɔ́	t u ¹ ŋ ɔ ⁵	back (body)	dos	BACK
212	Yanda_Dom	tùnù	t u ¹ n u ¹	back (body)	dos	BACK
213	Yorno_So	ònɔ́	o ¹ n ɔ ⁵	back (body)	dos	BACK
#
241	Bambara	ŋɔ̀mɔ́	ŋ ɔ ¹ m ɔ ⁵	tree bark	écorce	BARK
242	Bangime	kūɥɛ̀	k u ³ ɥ ɛ ¹	shell (of nut); bark (of tree)	coque (de noix); écorce	BARK
243	Bankan_Tey	tùndú	t u ¹ n d u ⁵	tree bark	écorce	BARK
244	Ben_Tey	kù kòmbî:	k u ¹ _ k o ¹ m b iː ⁵¹	tree bark	écorce	BARK
245	Bunoge	kòbàlì	k o ¹ b a ¹ l i ¹	tree bark	écorce	BARK
247	Fulfulde	koɓolal	k o ɓ o l a l	bark (of tree)	écorce	BARK
249	Jamsay	jêy	dʒ e ⁵¹ j	tree bark	écorce	BARK
250	Jenaama	jùgù wógō	dʒ u ¹ ɡ u ¹ _ w o ⁵ ɡ o ³	bark (of tree)	écorce	BARK
251	Mombo	kòmbòlí	k o ¹ m b o ¹ l i ⁵	tree bark	écorce	BARK
252	Nanga	tùmà pô:	t u ¹ m a ¹ _ p oː ⁵¹	tree bark	écorce	BARK
253	Penange	témbú	t e ⁵ m b u ⁵	tree bark	écorce	BARK
254	Perge_Tegu	gɛ̂:ⁿ	ɡ ɛ̃ː ⁵¹ ∼	tree bark	écorce	BARK
255	Songhai_Kiini	kókómbú	k o ⁵ k o ⁵ m b u ⁵	(tree) bark; shell (of unshelled rice, or peanut)	écorce (d’arbre);	BARK
256	Songhai_Senni	kóptò	k o ⁵ p t o ¹	tree bark	écorce d’arbre	BARK
258	Tebul_Ure	kóbé	k o ⁵ b e ⁵	tree bark	écorce	BARK
259	Tiranige_Diga	kóy	k o ⁵ j	tree bark	écorce	BARK
260	Togo_Kan	kòkǒ:	k o ¹ k oː ¹⁵	tree bark	écorce	BARK
261	Tommo_So	jóyⁿ	dʒ o ⁵ j ∼	tree bark	écorce	BARK
263	Toro_Tegu	kǒw	k o ¹⁵ w	tree bark	écorce	BARK
264	Yanda_Dom	tìmè sábú	t i ¹ m e ¹ _ s a ⁵ b u ⁵	tree bark	écorce	BARK
#
313	Bambara	dábɔ́	d a ⁵ b ɔ ⁵	begin	débuter, commencer, entamer	BEGIN
314	Bangime	tììndà	t iː ¹ n d a ¹	begin	commencer	BEGIN
315	Bankan_Tey	túmbí-rí	t u ⁵ m b i ⁵ + r i ⁵	begin, start (sth)	commencer (qch)	BEGIN
316	Ben_Tey	túmdí	t u ⁵ m d i ⁵	begin, start (sth)	commencer (qch)	BEGIN
317	Bunoge	dɔ́gú-lɛ̀	d ɔ ⁵ ɡ u ⁵ + l ɛ ¹	begin, start (sth)	commencer (qch)	BEGIN
319	Fulfulde	fuɗɗu-de	f u ɗ ɗ u + d e	begin	commencer	BEGIN
321	Jamsay	túmnó	t u ⁵ m n o ⁵	begin, start (sth)	commencer (qch)	BEGIN
322	Jenaama	ǹsīnì	n ¹ s i ³ n i ¹	begin	commencer	BEGIN
323	Mombo	dɔ́gɛ́	d ɔ ⁵ ɡ ɛ ⁵	begin, start (sth)	commencer (qch)	BEGIN
324	Najamba	jàŋgí	dʒ a ¹ ŋ ɡ i ⁵	begin, start (sth)	commencer (qch)	BEGIN
325	Nanga	tɔ́rɔ́	t ɔ ⁵ r ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
326	Penange	dɔ́gú-lɛ̀	d ɔ ⁵ ɡ u ⁵ + l ɛ ¹	begin, start (sth)	commencer (qch)	BEGIN
327	Perge_Tegu	nɔ́:	n ɔː	begin, start (sth)	commencer (qch)	BEGIN
328	Songhai_Kiini	síntîn	s i ⁵ n t i ⁵¹ n	begin, do for the first time	commencer	BEGIN
329	Songhai_Senni	síntîn	s i ⁵ n t i ⁵¹ n	begin, do for the first time	commencer	BEGIN
330	Tebul_Ure	tɔ́:	t ɔː	begin, start (sth)	commencer (qch)	BEGIN
331	Tiranige_Diga	túmbú-lɔ́	t u ⁵ m b u ⁵ + l ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
332	Togo_Kan	tɔ́rɔ́	t ɔ ⁵ r ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
333	Tommo_So	tɔ́lɔ́	t ɔ ⁵ l ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
334	Toro_Tegu	dɛ̀wrú	d ɛ ¹ w r u ⁵	begin, start (sth)	commencer (qch)	BEGIN
336	Yanda_Dom	nɔ́	n ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
337	Yorno_So	tɔ́lɔ́	t ɔ ⁵ l ɔ ⁵	begin, start (sth)	commencer (qch)	BEGIN
#
341	Bambara	fùrú	f u ¹ r u ⁵	begin	estomac	BELLY
342	Bangime	kòrè	k o ¹ r e ¹	belly	ventre	BELLY
343	Bankan_Tey	pìré	p i ¹ r e ⁵	belly	ventre	BELLY
344	Ben_Tey	pìré	p i ¹ r e ⁵	belly	ventre	BELLY
345	Bunoge	dólè	d o ⁵ l e ¹	belly	ventre	BELLY
347	Fulfulde	reedu	r e e d u	belly	ventre	BELLY
348	Jamsay	bɛrɛ	b ɛ r ɛ	belly	ventre	BELLY
349	Jenaama	nù	n u ¹	belly	ventre	BELLY
350	Mombo	píjí	p i ⁵ dʒ i ⁵	belly	ventre	BELLY
351	Najamba	kûl	k u ⁵¹ l	belly	ventre	BELLY
352	Nanga	bèndé	b e ¹ n d e ⁵	belly	ventre	BELLY
353	Penange	jàŋgà	dʒ a ¹ ŋ ɡ a ¹	belly	ventre	BELLY
354	Perge_Tegu	bɛ̀rɛ́	b ɛ ¹ r ɛ ⁵	belly	ventre	BELLY
355	Songhai_Kiini	bɛ́:rǎ:	b ɛː ⁵ r aː ¹⁵	(sb’s) stomach	estomac (de qn)	BELLY
356	Songhai_Senni	fúttó	f u ⁵ t t o ⁵	stomach	estomac	BELLY
358	Tebul_Ure	bɛ̀rǎ:	b ɛ ¹ r aː ¹⁵	belly	ventre	BELLY
359	Tiranige_Diga	pìndì	p i ¹ n d i ¹	belly	ventre	BELLY
360	Togo_Kan	bǐn	b i ¹⁵ n	belly	ventre	BELLY
361	Tommo_So	bɛ̀rɛ́	b ɛ ¹ r ɛ ⁵	belly	ventre	BELLY
362	Toro_Tegu	bèté	b e ¹ t e ⁵	belly	ventre	BELLY
363	Yanda_Dom	bɛ̀dɛ̀	b ɛ ¹ d ɛ ¹	belly	ventre	BELLY
365	Yorno_So	bɛ̀rɛ́	b ɛ ¹ r ɛ ⁵	belly	ventre	BELLY
#
412	Bangime	bɔ́rⁿú	b ɔ ⁵ r̃ ∼ u ⁵	big (house, tree, animal); fat (person)	gros (personne, ventre), en surpoids	BIG
413	Bankan_Tey	díyⁿàwⁿ	d i ⁵ j ∼ a ¹ w̃ ∼	big, large	gros, grand	BIG
414	Ben_Tey	díyⁿàw	d i ⁵ j ∼ a ¹ w	big, large	gros, grand	BIG
415	Bunoge	bàyⁿ	b a ¹ j ∼	big, large	gros, grand	BIG
417	Fulfulde	mawnu-de	m a w n u + d e	big, large	gros, grand	BIG
419	Jamsay	gàrá	ɡ a ¹ r a ⁵	big, large	gros, grand	BIG
420	Jenaama	būrōŋ	b u ³ r o ³ ŋ	big (house, tree, animal)	gros, de grande taille	BIG
421	Mombo	bâyⁿ	b a ⁵¹ j ∼	big, large	gros, grand	BIG
422	Najamba	gìndɔ́:	ɡ i ¹ n d ɔː	big, large	gros, grand	BIG
423	Nanga	dùgí	d u ¹ ɡ i ⁵	big, large	gros, grand	BIG
424	Penange	bàyⁿ	b a ¹ j ∼	big, large	gros, grand	BIG
425	Perge_Tegu	démbé-ré	d e ⁵ m b e ⁵ + r e ⁵	big, large	gros, grand	BIG
426	Songhai_Kiini	bè:rì	b eː ¹ r i ¹	big, large	gros, grand	BIG
427	Songhai_Senni	bè:rì	b eː ¹ r i ¹	big, large	gros, grand	BIG
429	Tebul_Ure	dɛ́	d ɛ ⁵	big, large	gros, grand	BIG
430	Tiranige_Diga	báy	b a ⁵ j	big, large	gros, grand	BIG
431	Togo_Kan	káŋ	k a ⁵ ŋ	big, large	gros, grand	BIG
432	Tommo_So	póó	p oː ⁵	big, large	gros, grand	BIG
433	Toro_Tegu	sɛ́w	s ɛ ⁵ w	big, large	gros, grand	BIG
435	Yanda_Dom	dìyá	d i ¹ j a ⁵	big, large	gros, grand	BIG
436	Yorno_So	dùgú	d u ¹ ɡ u ⁵	big, large	gros, grand	BIG
#
440	Bambara	kɔ̀nɔ́	k ɔ ¹ n ɔ ⁵	bird	oiseau	BIRD
441	Bangime	dɔ̄rɛ̀ɛ̀	d ɔ ³ r ɛː ¹	bird (any)	oiseau (tout)	BIRD
442	Bankan_Tey	nǐ:m	n iː ¹⁵ m	bird (any)	(tout) oiseau	BIRD
443	Ben_Tey	nì:yⁿî-m	n iː ¹ j ∼ i ⁵¹ + m	bird (any)	(tout) oiseau	BIRD
444	Bunoge	ní:bè	n iː ⁵ b e ¹	bird (any)	(tout) oiseau	BIRD
446	Fulfulde	foondu	f o o n d u	bird (any)	oiseau (tout)	BIRD
447	Jamsay	sà:jî:ⁿ	s aː ¹ dʒ ĩː ⁵¹ ∼	bird (any)	(tout) oiseau	BIRD
448	Jenaama	pùlēwⁿ	p u ¹ l e ³ w̃ ∼	bird (any)	oiseau (tout)	BIRD
449	Mombo	ìní	i ¹ n i ⁵	bird (any)	(tout) oiseau	BIRD
450	Najamba	nǐ:	n iː ¹⁵	bird (any)	(tout) oiseau	BIRD
451	Nanga	lì:gí	l iː ¹ ɡ i ⁵	bird (any)	(tout) oiseau	BIRD
452	Penange	nèjjé	n e ¹ dʒ dʒ e ⁵	bird (any)	(tout) oiseau	BIRD
453	Perge_Tegu	sàsǎy	s a ¹ s a ¹⁵ j	bird (any)	(tout) oiseau	BIRD
454	Songhai_Kiini	kírò	k i ⁵ r o ¹	bird	oiseau	BIRD
455	Songhai_Senni	kírò	k i ⁵ r o ¹	bird	oiseau	BIRD
457	Tebul_Ure	àdé	a ¹ d e ⁵	bird (any)	(tout) oiseau	BIRD
458	Tiranige_Diga	níyè	n i ⁵ j e ¹	bird (any)	(tout) oiseau	BIRD
459	Togo_Kan	sàjú	s a ¹ dʒ u ⁵	bird (any)	oiseau (tout)	BIRD
460	Tommo_So	sàdàá	s a ¹ d aː ¹⁵	bird (any)	(tout) oiseau	BIRD
462	Toro_Tegu	sǎy	s a ¹⁵ j	bird (any)	(tout) oiseau	BIRD
463	Yanda_Dom	àɲàn	a ¹ ɲ a ¹ n	bird (any)	(tout) oiseau	BIRD
464	Yorno_So	sìsǎ:	s i ¹ s aː ¹⁵	bird (any)	(tout) oiseau	BIRD
#
512	Bambara	nùmúⁿ	n u ¹ m ũ ⁵ ∼	blacksmith	forgeron, toute personne appartenant à la caste des forgerons	BLACKSMITH
513	Bangime	tùwⁿɔ̀	t u ¹ w̃ ∼ ɔ ¹	blacksmith	forgeron	BLACKSMITH
514	Bankan_Tey	zɛ́mbɛ̀-m	z ɛ ⁵ m b ɛ ¹ + m	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
515	Ben_Tey	jɛ́mbɛ̌-m	dʒ ɛ ⁵ m b ɛ ¹⁵ + m	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
516	Bunoge	kɔ́:nɔ̀	k ɔː n ɔ ¹	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
518	Fulfulde	baylo	b a j l o	blacksmith	forgeron	BLACKSMITH
520	Jamsay	jɛ́mɛ̀n	dʒ ɛ ⁵ m ɛ ¹ n	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
521	Jenaama	kùɥgù	k u ¹ ɥ ɡ u ¹	blacksmith	forgeron	BLACKSMITH
522	Mombo	dɛ́mbɛ́	d ɛ ⁵ m b ɛ ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
523	Najamba	dùbé	d u ¹ b e ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
524	Nanga	jɛ́mbɛ̀	dʒ ɛ ⁵ m b ɛ ¹	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
525	Penange	dɛ́mbɛ́	d ɛ ⁵ m b ɛ ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
526	Perge_Tegu	gɛ́mbɛ̀-n	ɡ ɛ ⁵ m b ɛ ¹ + n	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
527	Songhai_Senni	gàrgásò	ɡ a ¹ r ɡ a ⁵ s o ¹	blacksmith, member of the caste of blacksmiths and leather-workers (shoe-makers)	membre de la race des forgerons et des cordonniers	BLACKSMITH
529	Tebul_Ure	zɛ́mbɛ́	z ɛ ⁵ m b ɛ ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
530	Tiranige_Diga	dú:	d uː ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
531	Togo_Kan	jɛ́mɛ́	dʒ ɛ ⁵ m ɛ ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
532	Tommo_So	jɛ́mmɛ̀-nɛ̀	dʒ ɛ ⁵ m m ɛ ¹ + n ɛ ¹	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
533	Toro_Tegu	zɛ́mà-n	z ɛ ⁵ m a ¹ + n	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
535	Yanda_Dom	zèmɛ́	z e ¹ m ɛ ⁵	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
536	Yorno_So	írù-nɛ̀	i ⁵ r u ¹ + n ɛ ¹	blacksmith, member of blacksmith caste	forgeron, membre de la caste des forgerons	BLACKSMITH
#
584	Bambara	básí	b a ⁵ s i ⁵	blood	sang	BLOOD
585	Bangime	yīyì	j i ³ j i ¹	blood	sang	BLOOD
586	Bankan_Tey	gòŋgòró	ɡ o ¹ ŋ ɡ o ¹ r o ⁵	blood	sang	BLOOD
587	Ben_Tey	gòŋgòró	ɡ o ¹ ŋ ɡ o ¹ r o ⁵	blood	sang	BLOOD
588	Bunoge	bàbà	b a ¹ b a ¹	blood	sang	BLOOD
590	Fulfulde	ʄiiʄam	ʄ i i ʄ a m	blood	sang	BLOOD
592	Jamsay	nɛ̂yⁿ	n ɛ ¹⁵ j ∼	blood	sang	BLOOD
593	Jenaama	dē	d e ³	blood	sang	BLOOD
594	Mombo	gè:ŋgé	ɡ eː ¹ ŋ ɡ e ⁵	blood	sang	BLOOD
595	Najamba	gěngé	ɡ e ¹⁵ n ɡ e ⁵	blood	sang	BLOOD
596	Nanga	gòndùgó	ɡ o ¹ n d u ¹ ɡ o ⁵	blood	sang	BLOOD
597	Penange	bàgà	b a ¹ ɡ a ¹	blood	sang	BLOOD
598	Perge_Tegu	nɛ̂m	n ɛ ¹⁵ m	blood	sang	BLOOD
599	Songhai_Senni	kúró	k u ⁵ r o ⁵	blood	sang	BLOOD
600	Songhai_Kiini	kúrí	k u ⁵ r i ⁵	blood	sang	BLOOD
602	Tebul_Ure	jènjé	dʒ e ¹ n dʒ e ⁵	blood	sang	BLOOD
