# Wordlist

# DATA
ID	DOCULECT	IPA	TOKENS	ENGLISH	FRENCH	CONCEPT	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	SCAID	LEXSTATID
12	Najamba	bèmbǎ:	b e ¹ m b aː ¹⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	1 7 8 4 1 7 8	AXTMBYT	PE6MPA2	10	10.P.C 10.E.V 10.6.T 10.M.c 10.P.C 10.A.V 10.2.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	10	2
13	Nanga	lò:sí	l oː ¹ s i ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	5 7 8 3 7 8	AXTBYT	LU6SI6	11	11.L.C 11.U.V 11.6.T 11.S.C 11.I.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	4	1
14	Penange	bì:mbà	b iː ¹ m b a ¹	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	1 7 8 4 1 7 8	AXTMBYT	PI6MPA6	12	12.P.C 12.I.V 12.6.T 12.M.c 12.P.C 12.A.V 12.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	10	2
15	Perge_Tegu	lò:sú-n	l oː ¹ s u ⁵ + n	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	5 7 8 3 7 8 9 4	AXTBYT_A	LU6SY6_N	13	13.L.C 13.U.V 13.6.T 13.S.C 13.Y.V 13.6.T 13._._ 13.N.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0	4	1
16	Songhai_Kiini	yòwòó	j o ¹ w oː ¹⁵	guest, stranger (who lodges with a host)	étranger (qui loge chez qqn), invité	!GUEST OR STRANGER	6 7 8 6 7 8	AXTBYT	JU6WU2	14	14.J.C 14.U.V 14.6.T 14.W.C 14.U.V 14.2.T	1.6 3.0 1.0 1.3 3.0 1.0	0	14	4
17	Songhai_Senni	yòwò	j o ¹ w o ¹	guest, stranger (who lodges with a host)	étranger (qui loge chez qqn), invité	!GUEST OR STRANGER	6 7 8 6 7 8	AXTBYT	JU6WU6	15	15.J.C 15.U.V 15.6.T 15.W.C 15.U.V 15.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	14	4
19	Tebul_Ure	lògò-dé:	l o ¹ ɡ o ¹ + d eː ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	5 7 8 1 7 8 9 1 7 8	AXTBYT_AXT	LU6KU6_TE6	16	16.L.C 16.U.V 16.6.T 16.K.C 16.U.V 16.6.T 16._._ 16.T.C 16.E.V 16.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0	4	7
20	Tiranige_Diga	bí:má	b iː ⁵ m a ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	1 7 8 4 7 8	AXTBYT	PI6MA6	17	17.P.C 17.I.V 17.6.T 17.M.C 17.A.V 17.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	10	2
21	Togo_Kan	yéríⁿ	j e ⁵ r ĩ ⁵ ∼	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	6 7 8 5 7 8 4	AXTBYTN	JE6RI69	18	18.J.C 18.E.V 18.6.T 18.R.C 18.I.V 18.6.T 18.9.c	1.6 3.0 1.0 1.3 3.0 1.0 0.5	0	18	3
22	Tommo_So	yòùnjì-nɛ́	j o ¹ u ¹ n dʒ i ¹ + n ɛ ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	6 7 8 7 8 4 1 7 8 9 4 7 8	AXTYTMBYT_AXT	JU6Y6NTI6_NE6	19	19.J.C 19.U.V 19.6.T 19.Y.V 19.6.T 19.N.c 19.T.C 19.I.V 19.6.T 19._._ 19.N.C 19.E.V 19.6.T	1.6 3.0 1.0 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0	0	19	6
23	Toro_Tegu	lòsù-rⁿu	l o ¹ s u ¹ + r̃ ∼ u	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	5 7 8 3 7 8 9 5 4 7	AXTBYT_ACZ	LU6SY6_R9Y	20	20.L.C 20.U.V 20.6.T 20.S.C 20.Y.V 20.6.T 20._._ 20.R.C 20.9.C 20.Y.V	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 0.7	0	4	1
24	Yanda_Dom	nò nò:zù	n o ¹ _ n oː ¹ z u ¹	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	4 7 8 9 4 7 8 3 7 8	AXT_AXTBYT	NU6_NU6SY6	21	21.N.C 21.U.V 21.6.T 21._._ 21.N.C 21.U.V 21.6.T 21.S.C 21.Y.V 21.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	21	5
25	Yorno_So	yér-nɛ́	j e ⁵ r + n ɛ ⁵	visitor, guest (from out of town)	visiteur, étranger (en visite)	!GUEST OR STRANGER	6 7 8 5 9 4 7 8	AXTN_AXT	JE6R_NE6	22	22.J.C 22.E.V 22.6.T 22.R.c 22._._ 22.N.C 22.E.V 22.6.T	1.6 3.0 1.0 0.5 0.0 1.6 3.0 1.0	0	7	3
#
27	Bangime	ɡwìì	ɡ w iː ¹	age, long life	âge, longévité	AGE	1 6 7 8	ACXT	KWI6	2	2.K.C 2.W.C 2.I.V 2.6.T	1.6 1.2 3.0 1.0	0	22	19
28	Bankan_Tey	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	3	3.P.C 3.E.V 3.6.T	1.6 3.0 1.0	0	23	14
29	Ben_Tey	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	4	4.P.C 4.E.V 4.6.T	1.6 3.0 1.0	0	23	14
30	Bunoge	kɛ̀mnɔ̀ kánì	k ɛ ¹ m n ɔ ¹ _ k a ⁵ n i ¹	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4 4 7 8 9 1 7 8 4 7 8	AXTMBYT_AXTBYT	KE6MNU6_KA6NI6	5	5.K.C 5.E.V 5.6.T 5.M.c 5.N.C 5.U.V 5.6.T 5._._ 5.K.C 5.A.V 5.6.T 5.N.C 5.I.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	25	15
32	Fulfulde	naywu-de	n a j w u + d e	age, long life	âge, longévité	AGE	4 7 6 6 7 9 1 7	AXMBZ_AX	NAJWY_TE	6	6.N.C 6.A.V 6.J.c 6.W.C 6.Y.V 6._._ 6.T.C 6.E.V	2.0 1.5 1.1 1.75 0.8 0.0 2.0 1.5	0	26	20
34	Jamsay	pɛ́:ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4	AXTN	PE69	7	7.P.C 7.E.V 7.6.T 7.9.c	1.6 3.0 1.0 0.5	0	23	14
35	Mombo	ká:nú kánì	k aː ⁵ n u ⁵ _ k a ⁵ n i ¹	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4 7 8 9 1 7 8 4 7 8	AXTBYT_AXTBYT	KA6NY6_KA6NI6	9	9.K.C 9.A.V 9.6.T 9.N.C 9.Y.V 9.6.T 9._._ 9.K.C 9.A.V 9.6.T 9.N.C 9.I.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	25	15
36	Najamba	kúnjɛ́	k u ⁵ n dʒ ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4 1 7 8	AXTMBYT	KY6NTE6	10	10.K.C 10.Y.V 10.6.T 10.N.c 10.T.C 10.E.V 10.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	29	16
37	Nanga	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	11	11.P.C 11.E.V 11.6.T	1.6 3.0 1.0	0	23	14
38	Penange	ká:mnɔ́ kán	k aː ⁵ m n ɔ ⁵ _ k a ⁵ n	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4 4 7 8 9 1 7 8 4	AXTMBYT_AXTN	KA6MNU6_KA6N	12	12.K.C 12.A.V 12.6.T 12.M.c 12.N.C 12.U.V 12.6.T 12._._ 12.K.C 12.A.V 12.6.T 12.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0	25	15
39	Perge_Tegu	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	13	13.P.C 13.E.V 13.6.T	1.6 3.0 1.0	0	23	14
40	Songhai_Kiini	zé:n	z eː ⁵ n	(living thing) become old, elderly	(être vivant) devenir vieux, âgé	AGE	3 7 8 4	AXTN	SE6N	14	14.S.C 14.E.V 14.6.T 14.N.c	1.6 3.0 1.0 0.5	0	33	17
41	Songhai_Senni	zé:n	z eː ⁵ n	(living thing) become old, elderly	(être vivant) devenir vieux, âgé	AGE	3 7 8 4	AXTN	SE6N	15	15.S.C 15.E.V 15.6.T 15.N.c	1.6 3.0 1.0 0.5	0	33	17
42	Tebul_Ure	pɛ́	p ɛ ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	16	16.P.C 16.E.V 16.6.T	1.6 3.0 1.0	0	23	14
43	Tiranige_Diga	kúnjó	k u ⁵ n dʒ o ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4 1 7 8	AXTMBYT	KY6NTU6	17	17.K.C 17.Y.V 17.6.T 17.N.c 17.T.C 17.U.V 17.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	29	16
44	Togo_Kan	pɛ́:ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4	AXTN	PE69	18	18.P.C 18.E.V 18.6.T 18.9.c	1.6 3.0 1.0 0.5	0	23	14
45	Tommo_So	pɛ́ɛ́ⁿ	p ɛ̃ː ⁵ ∼	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8 4	AXTN	PE69	19	19.P.C 19.E.V 19.6.T 19.9.c	1.6 3.0 1.0 0.5	0	23	14
46	Toro_Tegu	yɔ̌w	j ɔ ¹⁵ w	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	6 7 8 6	AXTN	JU2W	20	20.J.C 20.U.V 20.2.T 20.W.c	1.6 3.0 1.0 0.5	0	39	18
47	Yanda_Dom	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	21	21.P.C 21.E.V 21.6.T	1.6 3.0 1.0	0	23	14
48	Yorno_So	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE	1 7 8	AXT	PE6	22	22.P.C 22.E.V 22.6.T	1.6 3.0 1.0	0	23	14
#
65	Bambara	dántán	d a ⁵ n t a ⁵ n	animal	animal domestique (surtout bétail)	ANIMAL	1 7 8 4 1 7 8 4	AXTMBYTN	TA6NTA6N	1	1.T.C 1.A.V 1.6.T 1.N.c 1.T.C 1.A.V 1.6.T 1.N.c	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.5	0	40	30
66	Bangime	yíríbɛ̀	j i ⁵ r i ⁵ b ɛ ¹	animal	animal	ANIMAL	6 7 8 5 7 8 1 7 8	AXTBYTBYT	JI6RI6PE6	2	2.J.C 2.I.V 2.6.T 2.R.C 2.I.V 2.6.T 2.P.C 2.E.V 2.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	41	29
67	Bankan_Tey	dá:bà-m	d aː ⁵ b a ¹ + m	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 7 8 9 4	AXTBYT_A	TA6PA6_M	3	3.T.C 3.A.V 3.6.T 3.P.C 3.A.V 3.6.T 3._._ 3.M.C	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6	0	42	22
68	Ben_Tey	àrsɛ̌:	a ¹ r s ɛː ¹⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 5 3 7 8	XTMBYT	A6RSE2	4	4.A.V 4.6.T 4.R.c 4.S.C 4.E.V 4.2.T	3.0 1.0 1.1 1.3 3.0 1.0	0	43	28
69	Bunoge	kɔ́mbɔ̀	k ɔ ⁵ m b ɔ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 4 1 7 8	AXTMBYT	KU6MPU6	5	5.K.C 5.U.V 5.6.T 5.M.c 5.P.C 5.U.V 5.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	44	32
71	Fulfulde	daaba	d a a b a	animal	animal domestique (surtout bétail)	ANIMAL	1 7 7 1 7	AXYBZ	TAAPA	6	6.T.C 6.A.V 6.A.V 6.P.C 6.A.V	2.0 1.5 1.3 1.75 0.8	0	42	31
73	Jamsay	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 3 7 8 1 7 8	XTBYTBYT	A6SE6KE6	7	7.A.V 7.6.T 7.S.C 7.E.V 7.6.T 7.K.C 7.E.V 7.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
74	Jenaama	dáábā	d aː ⁵ b a ³	animal	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 7 8	AXTBYT	TA6PA6	8	8.T.C 8.A.V 8.6.T 8.P.C 8.A.V 8.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	42	22
75	Mombo	dèbù bɛ́lí	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 7 8 9 1 7 8 5 7 8	AXTBYT_AXTBYT	TE6PY6_PE6LI6	9	9.T.C 9.E.V 9.6.T 9.P.C 9.Y.V 9.6.T 9._._ 9.P.C 9.E.V 9.6.T 9.L.C 9.I.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	48	27
76	Najamba	dúmɛ́-ŋgó	d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 4 7 8 9 4 1 7 8	AXTBYT_ACYT	TY6ME6_NKU6	10	10.T.C 10.Y.V 10.6.T 10.M.C 10.E.V 10.6.T 10._._ 10.N.C 10.K.C 10.U.V 10.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	49	26
77	Nanga	gàsɛ̀gɛ́	ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 3 7 8 1 7 8	AXTBYTBYT	KA6SE6KE6	11	11.K.C 11.A.V 11.6.T 11.S.C 11.E.V 11.6.T 11.K.C 11.E.V 11.6.T	1.6 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
78	Penange	dá:bá	d aː ⁵ b a ⁵	animal	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 7 8	AXTBYT	TA6PA6	12	12.T.C 12.A.V 12.6.T 12.P.C 12.A.V 12.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	42	22
79	Perge_Tegu	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 3 7 8 1 7 8	XTBYTBYT	A6SE6KE6	13	13.A.V 13.6.T 13.S.C 13.E.V 13.6.T 13.K.C 13.E.V 13.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
80	Songhai_Kiini	dá:bbà	d aː ⁵ b b a ¹	animal	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 1 7 8	AXTMBYT	TA6PPA6	14	14.T.C 14.A.V 14.6.T 14.P.c 14.P.C 14.A.V 14.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	42	23
81	Songhai_Senni	dá:bbà:	d aː ⁵ b b aː ¹	animal	animal domestique (surtout bétail)	ANIMAL	1 7 8 1 1 7 8	AXTMBYT	TA6PPA6	15	15.T.C 15.A.V 15.6.T 15.P.c 15.P.C 15.A.V 15.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	42	23
82	Tebul_Ure	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 3 7 8 1 7 8	XTBYTBYT	A6SE6KE6	16	16.A.V 16.6.T 16.S.C 16.E.V 16.6.T 16.K.C 16.E.V 16.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
83	Tiranige_Diga	bèl	b e ¹ l	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 5	AXTN	PE6L	17	17.P.C 17.E.V 17.6.T 17.L.c	1.6 3.0 1.0 0.5	0	56	25
84	Togo_Kan	gìrⁿí árúsɛ̀gɛ̀	ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 5 4 7 8 9 7 8 5 7 8 3 7 8 1 7 8	AXTMBYT_XTBYTBYTBYT	KI6R9I6_A6RY6SE6KE6	18	18.K.C 18.I.V 18.6.T 18.R.c 18.9.C 18.I.V 18.6.T 18._._ 18.A.V 18.6.T 18.R.C 18.Y.V 18.6.T 18.S.C 18.E.V 18.6.T 18.K.C 18.E.V 18.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0 0.0 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	57	21
85	Tommo_So	bɛ̀lú	b ɛ ¹ l u ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	1 7 8 5 7 8	AXTBYT	PE6LY6	19	19.P.C 19.E.V 19.6.T 19.L.C 19.Y.V 19.6.T	1.6 3.0 1.0 1.3 3.0 1.0	0	56	24
86	Toro_Tegu	àrùzàká	a ¹ r u ¹ z a ¹ k a ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 5 7 8 3 7 8 1 7 8	XTBYTBYTBYT	A6RY6SA6KA6	20	20.A.V 20.6.T 20.R.C 20.Y.V 20.6.T 20.S.C 20.A.V 20.6.T 20.K.C 20.A.V 20.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
87	Yanda_Dom	àzɛ̀gɛ̀	a ¹ z ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 3 7 8 1 7 8	XTBYTBYT	A6SE6KE6	21	21.A.V 21.6.T 21.S.C 21.E.V 21.6.T 21.K.C 21.E.V 21.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
88	Yorno_So	àrùsɛ̀gɛ́	a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL	7 8 5 7 8 3 7 8 1 7 8	XTBYTBYTBYT	A6RY6SE6KE6	22	22.A.V 22.6.T 22.R.C 22.Y.V 22.6.T 22.S.C 22.E.V 22.6.T 22.K.C 22.E.V 22.6.T	3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0 1.3 3.0 1.0	0	43	21
#
114	Bangime	kōmpàà	k o ³ m p aː ¹	armpit (where baby is picked up)	aisselle (où on prend un bébé)	ARMPIT	1 7 8 4 1 7 8	AXTMBYT	KU6MPA6	2	2.K.C 2.U.V 2.6.T 2.M.c 2.P.C 2.A.V 2.6.T	1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	58	36
115	Bankan_Tey	ár kɛ́ndɛ̀	a ⁵ r _ k ɛ ⁵ n d ɛ ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT	7 8 5 9 1 7 8 4 1 7 8	XTN_AXTMBYT	A6R_KE6NTE6	3	3.A.V 3.6.T 3.R.c 3._._ 3.K.C 3.E.V 3.6.T 3.N.c 3.T.C 3.E.V 3.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.1 1.3 3.0 1.0	0	59	34
116	Ben_Tey	àr kɛ́lɛ̀	a ¹ r _ k ɛ ⁵ l ɛ ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT	7 8 5 9 1 7 8 5 7 8	XTN_AXTBYT	A6R_KE6LE6	4	4.A.V 4.6.T 4.R.c 4._._ 4.K.C 4.E.V 4.6.T 4.L.C 4.E.V 4.6.T	3.0 1.0 0.5 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	59	34
118	Fulfulde	nawki	n a w k i	armpit	aisselle	ARMPIT	4 7 6 1 7	AXMBZ	NAWKI	6	6.N.C 6.A.V 6.W.c 6.K.C 6.I.V	2.0 1.5 1.1 1.75 0.8	0	61	38
120	Jamsay	kì kàrá	k i ¹ _ k a ¹ r a ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT	1 7 8 9 1 7 8 5 7 8	AXT_AXTBYT	KI6_KA6RA6	7	7.K.C 7.I.V 7.6.T 7._._ 7.K.C 7.A.V 7.6.T 7.R.C 7.A.V 7.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	59	33
121	Jenaama	kɛ̄ lɛ̄mù	k ɛ ³ _ l ɛ ³ m u ¹	armpit (where baby is picked up)	aisselle (où on prend un bébé)	ARMPIT	1 7 8 9 5 7 8 4 7 8	AXT_AXTBYT	KE6_LE6MY6	8	8.K.C 8.E.V 8.6.T 8._._ 8.L.C 8.E.V 8.6.T 8.M.C 8.Y.V 8.6.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	63	37
122	Mombo	kárá kárá súgù	k a ⁵ r a ⁵ _ k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT	1 7 8 5 7 8 9 1 7 8 5 7 8 9 3 7 8 1 7 8	AXTBYT_AXTBYT_AXTBYT	KA6RA6_KA6RA6_SY6KY6	9	9.K.C 9.A.V 9.6.T 9.R.C 9.A.V 9.6.T 9._._ 9.K.C 9.A.V 9.6.T 9.R.C 9.A.V 9.6.T 9._._ 9.S.C 9.Y.V 9.6.T 9.K.C 9.Y.V 9.6.T	1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0	0	59	33
123	Najamba	kà kàrâ: kùl	k a ¹ _ k a ¹ r aː ⁵¹ _ k u ¹ l	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT	1 7 8 9 1 7 8 5 7 8 9 1 7 8 5	AXT_AXTBYT_AXTN	KA6_KA6RA3_KY6L	10	10.K.C 10.A.V 10.6.T 10._._ 10.K.C 10.A.V 10.6.T 10.R.C 10.A.V 10.3.T 10._._ 10.K.C 10.Y.V 10.6.T 10.L.c	1.6 3.0 1.0 0.0 1.6 3.0 1.0 1.3 3.0 1.0 0.0 1.6 3.0 1.0 0.5	0	59	33
