# Wordlist

# DATA
ID	DOCULECT	IPA	TOKENS	ENGLISH	FRENCH	CONCEPT
47	Yanda_Dom	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
48	Yorno_So	pɛ́:	p ɛː ⁵	get old, age (verb)	vieiillir, ê. ou devenir vieux	AGE
#
65	Bambara	dántán	d a ⁵ n t a ⁵ n	animal	animal domestique (surtout bétail)	ANIMAL
66	Bangime	yíríbɛ̀	j i ⁵ r i ⁵ b ɛ ¹	animal	animal	ANIMAL
67	Bankan_Tey	dá:bà-m	d aː ⁵ b a ¹ + m	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
68	Ben_Tey	àrsɛ̌:	a ¹ r s ɛː ¹⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
69	Bunoge	kɔ́mbɔ̀	k ɔ ⁵ m b ɔ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
71	Fulfulde	daaba	d a a b a	animal	animal domestique (surtout bétail)	ANIMAL
73	Jamsay	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
74	Jenaama	dáábā	d aː ⁵ b a ³	animal	animal domestique (surtout bétail)	ANIMAL
75	Mombo	dèbù bɛ́lí	d e ¹ b u ¹ _ b ɛ ⁵ l i ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
76	Najamba	dúmɛ́-ŋgó	d u ⁵ m ɛ ⁵ + ŋ ɡ o ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
77	Nanga	gàsɛ̀gɛ́	ɡ a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
78	Penange	dá:bá	d aː ⁵ b a ⁵	animal	animal domestique (surtout bétail)	ANIMAL
79	Perge_Tegu	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
80	Songhai_Kiini	dá:bbà	d aː ⁵ b b a ¹	animal	animal domestique (surtout bétail)	ANIMAL
81	Songhai_Senni	dá:bbà:	d aː ⁵ b b aː ¹	animal	animal domestique (surtout bétail)	ANIMAL
82	Tebul_Ure	àsɛ̀gɛ́	a ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
83	Tiranige_Diga	bèl	b e ¹ l	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
84	Togo_Kan	gìrⁿí árúsɛ̀gɛ̀	ɡ i ¹ r̃ ∼ i ⁵ _ a ⁵ r u ⁵ s ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
85	Tommo_So	bɛ̀lú	b ɛ ¹ l u ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
86	Toro_Tegu	àrùzàká	a ¹ r u ¹ z a ¹ k a ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
87	Yanda_Dom	àzɛ̀gɛ̀	a ¹ z ɛ ¹ ɡ ɛ ¹	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
88	Yorno_So	àrùsɛ̀gɛ́	a ¹ r u ¹ s ɛ ¹ ɡ ɛ ⁵	domestic animal (esp. livestock)	animal domestique (surtout bétail)	ANIMAL
#
92	Bambara	lá-mìnɛ́	l a ⁵ + m i ¹ n ɛ ⁵	reply	répondre (à un salut, un appel...)	ANSWER
93	Bangime	yòò-rò	j oː ¹ + r o ¹	reply	répondre	ANSWER
94	Bankan_Tey	kísɛ́	k i ⁵ s ɛ ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
95	Ben_Tey	sá	s a ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
96	Bunoge	kíjɛ̀	k i ⁵ dʒ ɛ ¹	answer, reply to (sb)	répondre à (qn)	ANSWER
98	Jamsay	sá:	s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
99	Mombo	ábú-lè	a ⁵ b u ⁵ + l e ¹	answer, reply to (sb)	répondre à (qn)	ANSWER
100	Nanga	sá:	s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
101	Penange	kíjɛ́	k i ⁵ dʒ ɛ ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
102	Perge_Tegu	sá:	s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
103	Songhai_Kiini	tù:	t uː ¹	respond	répondre	ANSWER
104	Songhai_Senni	tùrù	t u ¹ r u ¹	reply (to)	répondre (à) -ex: .`sù ­túrù s-êy you’re not answering me	ANSWER
106	Tebul_Ure	sá:m	s aː ⁵ m	answer, reply to (sb)	répondre à (qn)	ANSWER
107	Tiranige_Diga	cígírɔ́	tʃ i ⁵ ɡ i ⁵ r ɔ ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
108	Togo_Kan	sá:	s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
109	Tommo_So	sáwá	s a ⁵ w a ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
110	Toro_Tegu	císú	tʃ i ⁵ s u ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
112	Yanda_Dom	m̀bò sá:	m ¹ b o ¹ _ s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
113	Yorno_So	sá:	s aː ⁵	answer, reply to (sb)	répondre à (qn)	ANSWER
#
114	Bangime	kōmpàà	k o ³ m p aː ¹	armpit (where baby is picked up)	aisselle (où on prend un bébé)	ARMPIT
115	Bankan_Tey	ár kɛ́ndɛ̀	a ⁵ r _ k ɛ ⁵ n d ɛ ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
116	Ben_Tey	àr kɛ́lɛ̀	a ¹ r _ k ɛ ⁵ l ɛ ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
118	Fulfulde	nawki	n a w k i	armpit	aisselle	ARMPIT
120	Jamsay	kì kàrá	k i ¹ _ k a ¹ r a ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
121	Jenaama	kɛ̄ lɛ̄mù	k ɛ ³ _ l ɛ ³ m u ¹	armpit (where baby is picked up)	aisselle (où on prend un bébé)	ARMPIT
122	Mombo	kárá kárá súgù	k a ⁵ r a ⁵ _ k a ⁵ r a ⁵ _ s u ⁵ ɡ u ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
123	Najamba	kà kàrâ: kùl	k a ¹ _ k a ¹ r aː ⁵¹ _ k u ¹ l	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
124	Nanga	ɛ̀rɛ̀ kɛ̀ndɛ̂	ɛ ¹ r ɛ ¹ _ k ɛ ¹ n d ɛ ¹⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
125	Penange	kàrà kàrà	k a ¹ r a ¹ _ k a ¹ r a ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
126	Perge_Tegu	kà kàrá	k a ¹ _ k a ¹ r a ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
127	Songhai_Kiini	fátò	f a ⁵ t o ¹	armpit; wing	aisselle; aile	ARMPIT
128	Songhai_Senni	fàtò	f a ¹ t o ¹	armpit; wing	aisselle; aile	ARMPIT
129	Tebul_Ure	kà kàrá	k a ¹ _ k a ¹ r a ⁵	armpit (where baby is picked up)	aisselle (où on prend un bébé)	ARMPIT
130	Tiranige_Diga	kàrà kàrà	k a ¹ r a ¹ _ k a ¹ r a ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
131	Togo_Kan	kà kàrá	k a ¹ _ k a ¹ r a ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
132	Tommo_So	ká kárú	k a ⁵ _ k a ⁵ r u ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
133	Toro_Tegu	ìr kílá	i ¹ r _ k i ⁵ l a ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
134	Yanda_Dom	kà gádà	k a ¹ _ ɡ a ⁵ d a ¹	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
135	Yorno_So	kí kárú	k i ⁵ _ k a ⁵ r u ⁵	armpit, underarm (where infant is grabbed)	aisselle (où on prend un enfant)	ARMPIT
#
139	Bangime	twàà-rà	t w aː ¹ + r a ¹	arrive	arriver	ARRIVE
140	Bankan_Tey	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
141	Ben_Tey	dɔ̌	d ɔ ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
142	Bunoge	dín-nɛ̀	d i ⁵ n + n ɛ ¹	arrive at, reach	arriver à, atteindre	ARRIVE
143	Fulfulde	yottaa-de	j o t t a a + d e	arrive	arriver	ARRIVE
145	Jamsay	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
146	Jenaama	kìyɛ̀wⁿ	k i ¹ j ɛ ¹ w̃ ∼	arrive	arriver	ARRIVE
147	Mombo	dín-yɛ̂:	d i ⁵ n + j ɛː ⁵¹	arrive at, reach	arriver à, atteindre	ARRIVE
148	Najamba	dw-ɛ̂:	d w + ɛː ⁵¹	arrive at, reach	arriver à, atteindre	ARRIVE
149	Nanga	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
150	Penange	túb-yɛ̀	t u ⁵ b + j ɛ ¹	arrive at, reach	arriver à, atteindre	ARRIVE
151	Perge_Tegu	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
152	Songhai_Kiini	tɔ́:	t ɔː	arrive	arriver Caus tó:-y-éyndí 2, VO also tó:-ndù ­ex: kòyrà gá bò .tó: the next village coming up (on a trip)	ARRIVE
153	Songhai_Senni	tó:	t oː ⁵	arrive	arriver	ARRIVE
154	Tebul_Ure	dɔ̌	d ɔ ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
155	Tiranige_Diga	áyó	a ⁵ j o ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
156	Togo_Kan	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
157	Tommo_So	dɔ̀ɔ́	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
158	Toro_Tegu	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
160	Yanda_Dom	dɔ́	d ɔ ⁵	arrive at, reach	arriver à, atteindre	ARRIVE
161	Yorno_So	dɔ̌:	d ɔː ¹⁵	arrive at, reach	arriver à, atteindre	ARRIVE
#
165	Bangime	tùɥɛ̀	t u ¹ ɥ ɛ ¹	ashes	cendre	ASH
166	Bankan_Tey	dɔ̀yⁿ ɔ̌yⁿ	d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼	ashes	cendre(s); couleur cendre, gris	ASH
167	Ben_Tey	dɔ̀yⁿ ɔ̌yⁿ	d ɔ ¹ j ∼ _ ɔ ¹⁵ j ∼	ashes	cendre	ASH
168	Bunoge	díwɔ̀	d i ⁵ w ɔ ¹	ashes	cendre	ASH
171	Jamsay	dɔ̀yⁿɔ́	d ɔ ¹ j ∼ ɔ ⁵	ashes	cendre(s); couleur cendre, gris	ASH
172	Jenaama	síbō	s i ⁵ b o ³	ashes	cendre	ASH
173	Mombo	dwɛ̂:	d w ɛː ⁵¹	ashes	cendre(s); couleur cendre, gris	ASH
174	Najamba	dɔ̀dɛ̌:-ŋgó	d ɔ ¹ d ɛː ¹⁵ + ŋ ɡ o ⁵	ashes	cendre	ASH
175	Nanga	dùyá	d u ¹ j a ⁵	ashes	cendre	ASH
176	Penange	dwɛ̀:	d w ɛː ¹	ashes	cendre	ASH
177	Perge_Tegu	dɔ̀yⁿɔ́	d ɔ ¹ j ∼ ɔ ⁵	ashes	cendre	ASH
178	Songhai_Kiini	bó:sú	b oː ⁵ s u ⁵	ashes	cendre(s); couleur cendre, gris	ASH
179	Songhai_Senni	bó:só	b oː ⁵ s o ⁵	ashes	cendre(s); couleur cendre, gris	ASH
180	Tebul_Ure	dɔ̀ɛ́	d ɔ ¹ ɛ ⁵	ashes	cendre	ASH
181	Tiranige_Diga	dwɛ́:	d w ɛː ⁵	ashes	cendre	ASH
182	Togo_Kan	dɔ̀yⁿɛ́	d ɔ ¹ j ∼ ɛ ⁵	ashes	cendre	ASH
183	Tommo_So	úndɔ́	u ⁵ n d ɔ ⁵	ashes	cendre	ASH
184	Toro_Tegu	dòwⁿ òsú	d o ¹ w̃ ∼ _ o ¹ s u ⁵	ashes	cendre	ASH
186	Yanda_Dom	dɔ̀yⁿɛ̀	d ɔ ¹ j ∼ ɛ ¹	ashes	cendre	ASH
187	Yorno_So	únɔ̀	u ⁵ n ɔ ¹	ashes	cendre	ASH
#
191	Bangime	ɡīìⁿ	ɡ ĩː ³¹ ∼	back (body)	dos	BACK
192	Bankan_Tey	tùndú	t u ¹ n d u ⁵	back (body)	dos	BACK
193	Ben_Tey	tùlù kɛ́lɛ̀	t u ¹ l u ¹ _ k ɛ ⁵ l ɛ ¹	back (body)	dos	BACK
194	Bunoge	pùmbù	p u ¹ m b u ¹	back (body)	dos	BACK
196	Fulfulde	caggal	tʃ a ɡ ɡ a l	back (body)	dos	BACK
198	Jamsay	gǔn	ɡ u ¹⁵ n	back (body)	dos	BACK
199	Mombo	túndú	t u ⁵ n d u ⁵	back (body)	dos	BACK
200	Najamba	bàndí-ŋgé	b a ¹ n d i ⁵ + ŋ ɡ e ⁵	back (body)	dos	BACK
201	Nanga	tùndù bìrⁿɛ́	t u ¹ n d u ¹ _ b i ¹ r̃ ∼ ɛ ⁵	back (body)	dos	BACK
202	Penange	túndú	t u ⁵ n d u ⁵	back (body)	dos	BACK
203	Perge_Tegu	tùr kɛ́lɛ́	t u ¹ r _ k ɛ ⁵ l ɛ ⁵	back (body)	dos	BACK
204	Songhai_Kiini	bandɛ̀	b a n d ɛ ¹	back (body part)	dos	BACK
205	Songhai_Senni	bàndè	b a ¹ n d e ¹	back (body part)	dos	BACK
206	Tebul_Ure	kúndú-gó	k u ⁵ n d u ⁵ + ɡ o ⁵	back (body)	dos	BACK
207	Tiranige_Diga	túnú	t u ⁵ n u ⁵	back (body)	dos	BACK
208	Togo_Kan	dògò kɛ́nɛ́	d o ¹ ɡ o ¹ _ k ɛ ⁵ n ɛ ⁵	back (body)	dos	BACK
209	Tommo_So	ònnú	o ¹ n n u ⁵	back (body)	dos	BACK
211	Toro_Tegu	tùŋɔ́	t u ¹ ŋ ɔ ⁵	back (body)	dos	BACK
212	Yanda_Dom	tùnù	t u ¹ n u ¹	back (body)	dos	BACK
213	Yorno_So	ònɔ́	o ¹ n ɔ ⁵	back (body)	dos	BACK
#
217	Bambara	júgú-máⁿ	dʒ u ⁵ ɡ u ⁵ + m ã ⁵ ∼	bad	mauvais, méchant	BAD
218	Bangime	yáŋɡā	j a ⁵ ŋ ɡ a ³	bad; ugly	mauvais; vilain	BAD
219	Bankan_Tey	m̀bɔ̀sú	m ¹ b ɔ ¹ s u ⁵	bad, no good	mauvais	BAD
220	Ben_Tey	mɔ̀sú	m ɔ ¹ s u ⁵	bad, no good	mauvais	BAD
221	Bunoge	ɲàmì	ɲ a ¹ m i ¹	bad, no good	mauvais	BAD
223	Fulfulde	bon-nde	b o n + n d e	bad; ugly	mauvais; vilain	BAD
224	Jamsay	mɔ̀ɲú	m ɔ ¹ ɲ u ⁵	bad, no good	mauvais	BAD
225	Jenaama	ɲɔ̄ŋɔ̄	ɲ ɔ ³ ŋ ɔ ³	bad; ugly	mauvais; vilain	BAD
226	Mombo	yá:lá	j aː ⁵ l a ⁵	bad, no good	mauvais	BAD
227	Najamba	nɛ̀:ndɛ́:	n ɛː ¹ n d ɛː ⁵	bad, no good	mauvais	BAD
228	Nanga	mɔ̀sí	m ɔ ¹ s i ⁵	bad, no good	mauvais	BAD
229	Penange	ɲàm	ɲ a ¹ m	bad, no good	mauvais	BAD
230	Perge_Tegu	mɔ̀sú	m ɔ ¹ s u ⁵	bad, no good	mauvais	BAD
231	Songhai_Kiini	bɔ̀nɛ́	b ɔ ¹ n ɛ ⁵	bad thing; serious misfortune	mauvaise chose, malheur sérieux.	BAD
232	Songhai_Senni	bòné fùtù	b o ¹ n e ⁵ _ f u ¹ t u ¹	bad thing; serious misfortune	mauvaise chose, malheur sérieux.	BAD
234	Tebul_Ure	sàm-gɔ́	s a ¹ m + ɡ ɔ ⁵	bad, no good	mauvais	BAD
235	Tiranige_Diga	mɔ́:ná	m ɔː n a ⁵	bad, no good	mauvais	BAD
236	Togo_Kan	mɔ̀ɲú	m ɔ ¹ ɲ u ⁵	bad, no good	mauvais	BAD
237	Tommo_So	pàdíɛ́	p a ¹ d i ⁵ ɛ ⁵	bad, no good	mauvais	BAD
238	Toro_Tegu	mɔ̀sú	m ɔ ¹ s u ⁵	bad, no good	mauvais	BAD
239	Yanda_Dom	gɔ̀mɔ̀	ɡ ɔ ¹ m ɔ ¹	bad, no good	mauvais	BAD
240	Yorno_So	mɔ̀ɲú	m ɔ ¹ ɲ u ⁵	bad, no good	mauvais	BAD
#
241	Bambara	ŋɔ̀mɔ́	ŋ ɔ ¹ m ɔ ⁵	tree bark	écorce	BARK
242	Bangime	kūɥɛ̀	k u ³ ɥ ɛ ¹	shell (of nut); bark (of tree)	coque (de noix); écorce	BARK
243	Bankan_Tey	tùndú	t u ¹ n d u ⁵	tree bark	écorce	BARK
244	Ben_Tey	kù kòmbî:	k u ¹ _ k o ¹ m b iː ⁵¹	tree bark	écorce	BARK
245	Bunoge	kòbàlì	k o ¹ b a ¹ l i ¹	tree bark	écorce	BARK
247	Fulfulde	koɓolal	k o ɓ o l a l	bark (of tree)	écorce	BARK
249	Jamsay	jêy	dʒ e ⁵¹ j	tree bark	écorce	BARK
250	Jenaama	jùgù wógō	dʒ u ¹ ɡ u ¹ _ w o ⁵ ɡ o ³	bark (of tree)	écorce	BARK
251	Mombo	kòmbòlí	k o ¹ m b o ¹ l i ⁵	tree bark	écorce	BARK
252	Nanga	tùmà pô:	t u ¹ m a ¹ _ p oː ⁵¹	tree bark	écorce	BARK
253	Penange	témbú	t e ⁵ m b u ⁵	tree bark	écorce	BARK
254	Perge_Tegu	gɛ̂:ⁿ	ɡ ɛ̃ː ⁵¹ ∼	tree bark	écorce	BARK
255	Songhai_Kiini	kókómbú	k o ⁵ k o ⁵ m b u ⁵	(tree) bark; shell (of unshelled rice, or peanut)	écorce (d’arbre);	BARK
256	Songhai_Senni	kóptò	k o ⁵ p t o ¹	tree bark	écorce d’arbre	BARK
258	Tebul_Ure	kóbé	k o ⁵ b e ⁵	tree bark	écorce	BARK
259	Tiranige_Diga	kóy	k o ⁵ j	tree bark	écorce	BARK
260	Togo_Kan	kòkǒ:	k o ¹ k oː ¹⁵	tree bark	écorce	BARK
261	Tommo_So	jóyⁿ	dʒ o ⁵ j ∼	tree bark	écorce	BARK
263	Toro_Tegu	kǒw	k o ¹⁵ w	tree bark	écorce	BARK
264	Yanda_Dom	tìmè sábú	t i ¹ m e ¹ _ s a ⁵ b u ⁵	tree bark	écorce	BARK
#
267	Bangime	sèmbò	s e ¹ m b o ¹	beard	barbe	BEARD
268	Bankan_Tey	bɛ᷈yⁿ	b ɛ ¹⁵¹ ∼ j ∼	beard	barbe	BEARD
269	Ben_Tey	bɛ᷈yⁿ	b ɛ ¹⁵¹ ∼ j ∼	beard	barbe	BEARD
270	Bunoge	ʔɔ̀ndɔ́ kùlɛ̀	ʔ ɔ ¹ n d ɔ ⁵ _ k u ¹ l ɛ ¹	beard	barbe	BEARD
272	Fulfulde	waare	w a a r e	beard	barbe	BEARD
273	Jamsay	bɛ̀w kúrɔ́	b ɛ ¹ w _ k u ⁵ r ɔ ⁵	beard	barbe	BEARD
274	Jenaama	ʃìmbò cí	ʃ i ¹ m b o ¹ _ tʃ i ⁵	beard	barbe	BEARD
275	Mombo	bé:ⁿ kùlɛ̀	b ẽː ⁵ ∼ _ k u ¹ l ɛ ¹	beard	barbe	BEARD
276	Najamba	bɛ̂:ŋgò	b ɛː ⁵¹ ŋ ɡ o ¹	beard	barbe	BEARD
277	Nanga	bɛ̀ bɛ᷈:	b ɛ ¹ _ b ɛː ¹⁵¹	beard	barbe	BEARD
278	Penange	dɔ́mjɔ́ kùlɛ̀	d ɔ ⁵ m dʒ ɔ ⁵ _ k u ¹ l ɛ ¹	beard	barbe	BEARD
279	Perge_Tegu	bɛ̀ bɛ̌w	b ɛ ¹ _ b ɛ ¹⁵ w	beard	barbe	BEARD
280	Songhai_Senni	kà:bè	k aː ¹ b e ¹	beard	barbe	BEARD
281	Tebul_Ure	bèyà: kúlà	b e ¹ j aː ¹ _ k u ⁵ l a ¹	beard	barbe	BEARD
282	Tiranige_Diga	yéná kùlè-ŋgé	j e ⁵ n a ⁵ _ k u ¹ l e ¹ + ŋ ɡ e ⁵	beard	barbe	BEARD
283	Togo_Kan	bɛ̌	b ɛ ¹⁵	beard	barbe	BEARD
284	Tommo_So	bɛ̀ɛ́	b ɛː ¹⁵	beard	barbe	BEARD
285	Toro_Tegu	bɛ̌w	b ɛ ¹⁵ w	beard	barbe	BEARD
287	Yanda_Dom	bìyà kùlà	b i ¹ j a ¹ _ k u ¹ l a ¹	beard	barbe	BEARD
288	Yorno_So	bɛ̌:	b ɛː ¹⁵	beard	barbe	BEARD
#
289	Bambara	cɛ̀ɲí	tʃ ɛ ¹ ɲ i ⁵	beard	barbe	BEAUTIFUL
290	Bangime	báákò	b aː ⁵ k o ¹	pretty, beautiful	joli, beau, belle	BEAUTIFUL
291	Bankan_Tey	ɛ́sù-m	ɛ ⁵ s u ¹ + m	pretty, beautiful	joli, beau, belle	BEAUTIFUL
292	Ben_Tey	ɛ̀sú	ɛ ¹ s u ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
293	Bunoge	sèlè	s e ¹ l e ¹	pretty, beautiful	joli, beau, belle	BEAUTIFUL
295	Fulfulde	lobb	l o b b	pretty, beautiful	joli, beau, belle	BEAUTIFUL
296	Jamsay	ɛju	ɛ dʒ u	pretty, beautiful	joli, beau, belle	BEAUTIFUL
297	Jenaama	māɲɔ̄wⁿ	m a ³ ɲ ɔ ³ w̃ ∼	good	bon	BEAUTIFUL
298	Mombo	yá:gá	j aː ⁵ ɡ a ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
299	Najamba	nálɛ́:	n a ⁵ l ɛː ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
300	Nanga	ɛ̀sí	ɛ ¹ s i ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
301	Penange	yágá	j a ⁵ ɡ a ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
302	Perge_Tegu	ɛ̀sú	ɛ ¹ s u ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
303	Songhai_Senni	mù:lí-yà	m uː ¹ l i ⁵ + j a ¹	beautiful thing or person	chose ou personne jolie	BEAUTIFUL
304	Songhai_Kiini	sɔ̀wɔ̌:	s ɔ ¹ w ɔː ¹⁵	pretty, beautiful	joli, beau (belle)	BEAUTIFUL
305	Tebul_Ure	ɛ́dɛ̀:	ɛ ⁵ d ɛː ¹	pretty, beautiful	joli, beau, belle	BEAUTIFUL
306	Tiranige_Diga	yágá	j a ⁵ ɡ a ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
307	Togo_Kan	sɛ́ⁿ	s ɛ ⁵ ∼	pretty, beautiful	joli, beau, belle	BEAUTIFUL
308	Tommo_So	ɛ̀sú	ɛ ¹ s u ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
310	Toro_Tegu	jɛ̀rⁿú	dʒ ɛ ¹ r̃ ∼ u ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
311	Yanda_Dom	ɛ̀zù	ɛ ¹ z u ¹	pretty, beautiful	joli, beau, belle	BEAUTIFUL
312	Yorno_So	ɛ̀jú	ɛ ¹ dʒ u ⁵	pretty, beautiful	joli, beau, belle	BEAUTIFUL
#
313	Bambara	dábɔ́	d a ⁵ b ɔ ⁵	begin	débuter, commencer, entamer	BEGIN
314	Bangime	tììndà	t iː ¹ n d a ¹	begin	commencer	BEGIN
315	Bankan_Tey	túmbí-rí	t u ⁵ m b i ⁵ + r i ⁵	begin, start (sth)	commencer (qch)	BEGIN
316	Ben_Tey	túmdí	t u ⁵ m d i ⁵	begin, start (sth)	commencer (qch)	BEGIN
317	Bunoge	dɔ́gú-lɛ̀	d ɔ ⁵ ɡ u ⁵ + l ɛ ¹	begin, start (sth)	commencer (qch)	BEGIN
319	Fulfulde	fuɗɗu-de	f u ɗ ɗ u + d e	begin	commencer	BEGIN
321	Jamsay	túmnó	t u ⁵ m n o ⁵	begin, start (sth)	commencer (qch)	BEGIN
